7	512	0.514792898	0.999999997	0.721649482	7	0	1	0	4.900390625	6	0	0	1	0	0	0	4	318	208	0	690400	237250	0	3414.555435	1670.840801	0	0	0	0	1	0	0	0	0	0	0	0.201965694	0.497264567	0.033341084	0.033341413	0.234087242	0.513562687	0.169836205	0.0546875	0.021484375	0.717948718	0.282051282	0.42969581	0.0625	1	-0.242424242	-0.5	-0.1	0	0	0.5	0	2600
8	307	0.617647057	0.999999995	0.748717945	7	1	0	0	4.749185668	10	1	0	0	0	0	0	4	1100	385.5	0	843300	138327.1	0	5016.230769	2657.278185	6200	6200	6200	0	0	0	0	0	1	0	1	0.171433097	0.02003023	0.119398644	0.243747574	0.445390456	0.478218695	0.106216931	0.045602606	0.013029316	0.777777778	0.222222222	0.32627551	0.2	0.5	-0.425	-0.5	-0.2	0.54	0.16	0.04	0.16	1100
10	310	0.621359221	0.999999995	0.78534031	8	0	0	1	4.329032258	7	0	1	0	0	0	0	217	2100	618	0	617900	199471.4286	0	8342.92233	3215.080008	0	0	0	0	0	0	0	1	0	0	0	0.028620817	0.029197324	0.028572954	0.741129811	0.172479093	0.492636895	0.093288145	0.032258065	0.012903226	0.714285714	0.285714286	0.356439394	0.136363636	0.7	-0.363888889	-0.5	-0.155555556	0	0	0.5	0	36200
10	2017	0.386272545	0.999999999	0.592367736	34	0	1	0	4.508676252	5	0	0	0	1	0	0	217	444	359.25	0	69100	33580	0	3878.231818	2577.853655	0	0	0	0	1	0	0	0	0	0	0	0.839821377	0.040009309	0.040083912	0.040082795	0.040002606	0.547241343	0.135955705	0.04858701	0.017352504	0.736842105	0.263157895	0.39938146	0.033333333	1	-0.342594628	-1	-0.05	0.095833333	0.016666667	0.404166667	0.016666667	2600
9	591	0.475213674	0.999999997	0.62643678	9	4	1	1	4.818950931	9	0	0	0	0	0	1	-1	522	189.3333333	1500	843300	199988.8889	820.3333333	4966.184783	2266.014521	1200	3600	2200	1	0	0	0	0	0	0	0	0.022229717	0.02222372	0.802036625	0.022222504	0.131287434	0.351109551	0.097068172	0.023688663	0.00676819	0.777777778	0.222222222	0.305148423	0.1	0.7	-0.170138889	-0.3	-0.1	0.227272727	0.068181818	0.272727273	0.068181818	926
9	379	0.48097826	0.999999995	0.584112147	8	7	3	0	4.883905013	9	0	0	0	1	0	0	-1	410	145.625	0	843300	404888.8889	0	4349.423659	2850.512608	1700	13100	4260	0	0	0	0	1	0	0	0	0.467815313	0.022242887	0.261300541	0.022295279	0.22634598	0.555203598	0.145577652	0.052770449	0.007915567	0.869565217	0.130434783	0.277924242	0.033333333	0.6	-0.3	-0.3	-0.3	0.8	0.2	0.3	0.2	4200
14	2190	0.325842696	0.999999999	0.490792634	12	12	11	0	4.424657534	8	0	0	0	0	1	0	4	1200	346.5	1200	843300	167012.5	1200	3258.009539	2475.106554	372	3700	1883.333333	0	1	0	0	0	0	0	0	0.025000661	0.025052658	0.025000569	0.025000318	0.899945794	0.558040604	0.187284758	0.064840183	0.024200913	0.728205128	0.271794872	0.438894122	0.1	1	-0.310834082	-1	-0.071428571	0.3	1	0.2	1	560
10	917	0.46491228	0.999999998	0.731557376	7	5	3	1	4.348964013	9	0	0	0	0	1	0	-1	0	-1	27300	843300	396355.5556	2927.213345	4385.118844	3492.230045	1200	7600	4625	0	0	1	0	0	0	0	0	0.022485574	0.022226865	0.022252521	0.022264657	0.910770383	0.43512506	0.108954626	0.030534351	0.020719738	0.595744681	0.404255319	0.381417749	0.1	0.8	-0.192397661	-0.4	-0.1	0	0	0.5	0	1400
9	313	0.559870548	0.999999994	0.713483142	7	5	1	1	4.217252396	8	0	1	0	0	0	0	-1	424	178.375	17600	843300	202125	1829.402985	4582.638889	3520.476303	1200	1300	1250	1	0	0	0	0	0	0	0	0.025000185	0.899376178	0.025000125	0.025623352	0.02500016	0.414052288	0.286764706	0.038338658	0	1	0	0.430059524	0.2	1	0	0	0	0	0	0.5	0	1400
10	416	0.533653845	0.999999996	0.711999997	8	1	1	0	5.365384615	7	0	0	0	0	0	1	-1	950	385.7142857	5200	843300	159814.2857	1757.304348	3575.373381	2742.055457	18200	18200	18200	0	0	0	0	0	1	0	1	0.028572796	0.028572779	0.743984529	0.02857222	0.170297676	0.250833333	-0.011527778	0.019230769	0.021634615	0.470588235	0.529411765	0.197395833	0.05	0.6	-0.113888889	-0.2	-0.1	0	-0.1	0.5	0.1	924
